bandid,nestid_v,plottype,surveyyr,surveymo,surveyday,lat_v,long_v,transmitterid_v,nestnumber_v,wmu_v,county_v,township_v,landownership_v,guardobject,guardvo,guardht,averagevo,averagemaxvo,percwoody,percfern,percgrassforb,perclitter,percbare,percboulder,woodyht,fernht,grassforbht,litterht,boulderht,stemcount,woodytype1,woodytype2,vegcomments
8184,8184_2022_1,East,2022,9,21,40.87745,-79.51768,10131,1,2D,Armstrong,East Franklin,Private,Bush,Partial,0.5,0.1,0.6,27.5,67.5,10,100,0,0,161,64,13,4,0,44,Grpvines dwn/dead wood,,
8184,8184_2022_1,South,2022,9,21,40.87622,-79.5186,10131,1,2D,Armstrong,East Franklin,Private,Bush,Partial,0.5,0.3,0.6,40,90,10,100,0,0,162,82,9,4,0,70,Decid. Non-eric,Grpvines dwn/dead wood,
8184,8184_2022_1,West,2022,9,21,40.87686,-79.51999,10131,1,2D,Armstrong,East Franklin,Private,Bush,Partial,0.5,0.1,0.5,7.5,0,100,92.5,0,0,59,0,47,19,0,1,Decid. Non-eric,Non-native Invasive,
8183,8183_2022_1,Nest,2022,9,26,40.88145,-79.53735,10133,1,2D,Armstrong,East Franklin,Private,Bush,Partial,2,0.1,2,57.5,10,90,100,0,0,142,53,38,4,0,340,Non-native Invasive,Grpvines dwn/dead wood,
8183,8183_2022_1,North,2022,9,26,40.88234,-79.53768,10133,1,2D,Armstrong,East Franklin,Private,Bush,Partial,2,0.1,1.6,20,15,100,100,0,0,170,279,32,4,36,36,Grpvines dwn/dead wood,,
8183,8183_2022_1,East,2022,9,26,40.88166,-79.53625,10133,1,2D,Armstrong,East Franklin,Private,Bush,Partial,2,0.1,1.7,72.5,0,57.5,100,0,0,174,34,16,3,0,110,Grpvines dwn/dead wood,,
8183,8183_2022_1,South,2022,9,26,40.88052,-79.53708,10133,1,2D,Armstrong,East Franklin,Private,Bush,Partial,2,0.1,0.6,12.5,10,35,100,0,0,58,64,16,3,0,7,Non-native Invasive,Grpvines dwn/dead wood,
8183,8183_2022_1,West,2022,9,26,40.88123,-79.53854,10133,1,2D,Armstrong,East Franklin,Private,Bush,Partial,2,0.2,1,32.5,10,15,80,15,0,136,53,17,2,0,94,Non-native Invasive,Grpvines dwn/dead wood,
8191,8191_2022_1,West,2022,5,27,40.72569,-79.29157,10101,1,2D,Armstrong,Plumcreek,Private,Log,Partial,2,0.15,0.25,5,0,98,30,0,0,106,42,19,4,0,25,Non-native invasive,,
8260,8260_2022_1,Nest,2022,6,13,40.65941,-78.16703,10062,1,4D,Huntingdon,Warriors Mark,Private,Bush,Partial,,0.3,2,40,0,60,0,0,0,450,0,112,0,0,15,decid. ericaceous,decid. Non-eric,no record in notes of guard object height
8260,8260_2022_1,North,2022,6,13,40.660357,-78.16696,10062,1,4D,Huntingdon,Warriors Mark,Private,Bush,Partial,,0.1,0.5,47.5,0,47.5,2.5,0,0,200,0,50,2,0,5,evergreen shrub,decid. ericaceous,"evergreen shrub = laurel, decid. = blueberry"
8260,8260_2022_1,East,2022,6,13,40.659334,-78.165851,10062,1,4D,Huntingdon,Warriors Mark,Private,Bush,Partial,,0.2,0.4,10,35,55,0,0,0,150,70,60,0,0,0,,,
8260,8260_2022_1,South,2022,6,13,40.658556,-78.167046,10062,1,4D,Huntingdon,Warriors Mark,Private,Bush,Partial,,0.5,0.9,17.5,40,47.5,0,0,0,200,75,40,0,0,2,Decid. Eric,,blueberry
8260,8260_2022_1,West,2022,6,13,40.659396,-78.168224,10062,1,4D,Huntingdon,Warriors Mark,Private,Bush,Partial,,0.3,0.9,30,0,70,0,0,0,670,0,58,0,0,5,Decid. Eric,Non-native Invasive,"decid. =blueberry, non-native = multiflora"
8479,8479_2022_1,Nest,2022,6,17,40.36016,-75.54654,10059,1,5C,Montgomery,New Hanover,Private,Bush,Complete,1.2,0.9,1.6,75,0,25,90,5,0,94,0,19,3,0,13,Decid. Non-eric,Non-native Invasive,"Turkey left the nest on 6/13. Nest check completed 6/14, veg was done 6/17. unsure if predation happended after abandondment. The veg plot for the nest was logged last year."
8479,8479_2022_1,North,2022,6,17,40.36107,-75.5465,10059,1,5C,Montgomery,New Hanover,Private,Bush,Complete,1.2,0,0.1,12.5,0,55,10,32.5,0,117,0,5,1,0,0,Non-native Invasive,,barns and mowed lawn.
8479,8479_2022_1,East,2022,6,17,40.36022,-75.54534,10059,1,5C,Montgomery,New Hanover,Private,Bush,Complete,1.2,0.9,1.2,50,0,60,82.5,5,0,39,0,14,3,0,24,Non-native Invasive,,"inside woods off of hayfield, hayfield just outside of veg plot"
8479,8479_2022_1,West,2022,6,17,40.36017,-75.54765,10059,1,5C,Montgomery,New Hanover,Private,Bush,Complete,1.2,0.7,1.5,40,7.5,45,62.5,2.5,0,95,43,23,2,0,30,Non-native Invasive,,Plot half in Hayfield and wooded edge
8479,8479_2022_1,South,2022,6,17,40.35934,-75.54649,10059,1,5C,Montgomery,New Hanover,Private,Bush,Complete,1.2,0.5,1.1,45,0,50,65,2.5,7.5,85,0,16,10,32,9,Decid. Non-eric,Non-native Invasive,in a recently logged portion of woods
8471,8471_2022_1,Nest,2022,6,22,40.47886,-75.11639,10118,1,5C,Bucks,Tinicum,Private,Bush,Partial,1,0.8,1.1,17.5,0,77.5,62.5,0,0,74,0,38,10,0,4,Decid. Non-eric,Non-native Invasive,"in the treeline between two hayfields, some old haybales in plot"
8471,8471_2022_1,East,2022,6,22,40.47891,-75.11523,10118,1,5C,Bucks,Tinicum,Private,Bush,Partial,1,0.1,0.2,32.5,2.5,20,87.5,12.5,0,85,15,12,2,0,44,Decid. Non-eric,Non-native Invasive,on unmaintaintained road/path with dried up stream bed in plot
8471,8471_2022_1,South,2022,6,22,40.47797,-75.11641,10118,1,5C,Bucks,Tinicum,Private,Bush,Partial,1,0.1,0.1,10,2.5,52.5,41.8,22.5,0,27,20,25,11,0,9,Grpvines dwn/dead wood,,dried up stream running through middle of plot. Old growth stand with red stone
8471,8471_2022_1,West,2022,6,22,40.47887,-75.11755,10118,1,5C,Bucks,Tinicum,Private,Bush,Partial,1,0.1,0.3,0,0,90,80,0,0,0,0,20,2,0,0,,,In middle of mowed hayfield.
8478,8478_2022_1,Nest,2022,6,21,40.39692,-75.55607,10132,1,5C,Montgomery,New Hanover,Private,Tree,Complete,2,0.6,1.4,5,0,87.5,52.5,0,0,100,0,43,2,0,1,Non-native Invasive,,"Nest was in the rough/ wooded area of golf course behind poplar tree, many snags and poison ivy"
8478,8478_2022_1,North,2022,6,21,40.39782,-75.55606,10132,1,5C,Montgomery,New Hanover,Private,Tree,Complete,2,0,0.1,0,0,92.5,2.5,7.5,0,0,0,2,1,0,0,,,Had to wait for golfers to pass/ T off first. The T was with in th plot no trees or shrubs in the plot.
8478,8478_2022_1,East,2022,6,21,40.39692,-75.55486,10132,1,5C,Montgomery,New Hanover,Private,Tree,Complete,2,0.1,0.4,12.5,0,77.5,17.5,0,2.5,113,0,22,1,60,7,Decid. Non-eric,Non-native Invasive,plot in edge of gold hole green with some woods in plot. Less then 20m from old Nest
8478,8478_2022_1,West,2022,6,21,40.39691,-75.55726,10132,1,5C,Montgomery,New Hanover,Private,Tree,Complete,2,0,0.1,0,0,100,0,0,0,0,0,2,0,0,0,,,In the middle of the fair way.
8210,8210_2022_1,Nest,2022,6,24,40.96773,-78.18398,9763,1,4D,Clearfield,Morris,Private,Bush,Complete,2,1,1.9,42.5,10,55,2.5,0,0,263,63,100,2,0,4,Non-native Invasive,,Dense vegetation
8210,8210_2022_1,South,2022,6,24,40.96687,-78.1841,9763,1,4D,Clearfield,Morris,Private,Bush,Complete,2,0.3,1.1,50,2.5,55,0,0,0,100,50,70,0,0,22,,,
8210,8210_2022_1,West,2022,6,24,40.96775,-78.18518,9763,1,4D,Clearfield,Morris,Private,Bush,Complete,2,0.1,0.6,35,2.5,27.5,40,0,0,338,40,15,2,0,10,Grpvines dwn/dead wood,,
8172,8172_2022_1,Nest,2022,6,17,40.73353,-79.29447,10115,1,2D,Armstrong,Plumcreek,Private,Other,Partial,1.3,0.1,1.9,77.5,0,80,10,0,0,145,11,117,16,0,109,Decid. Non-eric,,
8172,8172_2022_1,North,2022,6,17,40.734415,-79.294355,10115,1,2D,Armstrong,Plumcreek,Private,Other,Partial,1.3,0.2,1.3,45,0,80,27.5,0,0,114,51,68,6,0,101,Decid. Non-eric,Non-native Invasive,
